Feature,15_32,33_46,47_59,60_88
vocalic_std,-0.3296103963780498,-0.3983827824252058,-0.5108762435499559,-0.6220578637669466
consonantal_mean,-0.1139512300017475,-0.1854279079044713,-0.2405201884119751,-0.356853467856151
open_mean,0.2124335119839674,0.1943343579493474,-0.0752706772291142,-0.1370269205407079
open_std,-0.1574283105823231,-0.2587389927334474,-0.3613109428841858,-0.493455114323
close_std,-0.4023956376756959,-0.4193227009380656,-0.2489952192846039,-0.1163559438301642
stop_mean,0.3442723956165056,0.2496017819530921,0.1695178295943917,0.0953071807662005
lateral_mean,0.2847220667589267,0.1225878490605063,0.0710878565491311,0.0312876802805083
lateral_std,0.2377152289563552,0.0052201772066356,0.0194437306722476,0.1210455335936981
flap_std,0.3465013972235723,0.4698700864770352,0.195929369508438,0.1280241159183262
trill_mean,0.3069433594639039,0.3309141816086766,0.1493265056805334,-0.0296496182053001
strident_std,-0.2128283634713582,-0.1975966275221766,-0.2707600579737239,-0.4167903227686972
dental_std,-0.2308882858930434,-0.3269825262701098,-0.3395530552028778,-0.4064202246909636
pause_mean,0.0554648329409981,0.0765994327287287,0.2178911200663049,0.4413070978493965
pause_std,-0.0278281732127446,0.0687922465638579,0.1184316327387947,0.290992429438091
