Feature,Not native,Native
avg Jitter,-0.6992649806493642,-0.4318925887740073
avg Shimmer,-0.3857081598767439,-0.0993893030321998
avg ppq,-0.2667413174902501,-0.0496601777941545
std logE,0.1784466649672398,-0.1429604728883697
