Feature,Not native,Native
vocalic_std,-0.0319178126595315,0.207077343425319
consonantal_mean,-0.1675908293476814,0.1321896554478776
consonantal_std,-0.0470777461410434,0.1953082548053966
open_std,-0.0946800805184037,0.1700349182394801
stop_std,-0.0034842794916648,0.2042171633817265
continuant_mean,-0.1912442821698607,0.0708120901066148
continuant_std,-0.0347389543713381,0.1740875603366729
lateral_mean,0.1232968053478177,-0.0822255065739343
lateral_std,0.1686632182335126,-0.0451544182186304
flap_std,-0.2738158506981792,-0.0677637484525444
strident_mean,-0.0810468288483107,0.1115650829049384
strident_std,-0.0383653452764269,0.1303071636688365
labial_std,-0.167435944137663,0.1063595152421003
dental_std,-0.1968191301781216,0.1996428177478793
pause_mean,0.1079033931881585,-0.0981492049825818
