Feature,High School or lower,Bachelor's Degree,Master's Degree,PhD or higher
avg BBEon_2,-0.0980167043077282,-0.0389702366361152,0.0653676892536197,0.0693384430943793
avg BBEon_3,-0.0602243373548841,-0.0086458158191976,0.1101457050637373,0.1185845287442931
avg BBEon_15,-0.1448912091969001,-0.0458884041473652,-0.0028589254270928,0.0031706628047887
avg BBEon_16,-0.0513501520081617,0.0318387589352699,0.0907682331711597,0.1028249939881568
avg BBEon_17,-0.1410101414876481,-0.0506133347536454,0.0444871999781674,0.0761097527020176
avg BBEon_18,-0.0805657378325708,0.0453782553693824,0.119759428000116,0.0899696945694581
avg BBEon_19,-0.0731696629939547,0.0756680416981545,0.1404105453236996,0.136356272211732
avg BBEon_20,-0.045455418201858,0.0899158064110844,0.1771146116934119,0.1226402497307705
avg BBEon_21,-0.0055945688037482,0.0993054227095219,0.1612307479236477,0.1445078128931526
avg BBEon_22,-0.0135209309132227,0.0747002408275645,0.1756499535442041,0.2055911599628157
avg MFCCon_1,0.0077222506982578,-0.0849187640665317,-0.1475517591648732,-0.090993691524048
avg DMFCCon_1,-0.0171646401276566,-0.0020826747089829,0.0388308986177511,0.0581316815957769
avg DMFCCon_3,0.0002053643623637,-0.049013510918528,-0.1928452246088365,-0.213057734032147
avg DMFCCon_7,-0.0432499208363596,0.0270082352514121,0.1371373990677977,0.2276406163745995
avg DMFCCon_8,-0.0021276006501751,-0.064564113832439,-0.2178409380100414,-0.1477050500215442
avg DDMFCCon_1,0.0498606091256331,-0.0746686043920467,-0.2522219791310877,-0.1804358881060957
avg DDMFCCon_2,0.0393355594799778,-0.0046253407169698,-0.0518380669601826,-0.0735692979238619
avg DDMFCCon_4,0.0578908527046783,0.0747851555064317,-0.0597270922433329,-0.0100161713960967
avg DDMFCCon_5,0.0715103254112129,0.015882457916393,-0.0767216488799319,-0.1437616778221955
avg DDMFCCon_7,-0.0886686596001168,-0.0149236287935312,0.1375187305928105,0.1103092514298786
avg DDMFCCon_8,0.019628086836314,0.0229130471862563,0.1816623898238853,0.190514356121355
avg BBEoff_2,-0.076123716762249,0.0125003758634298,0.1007478296474988,0.0601851451331902
avg BBEoff_6,0.1265530468983691,0.1054306213740886,0.0134153690405683,0.013287634160981
avg MFCCoff_1,-0.0348569671115483,-0.1093608936279792,-0.2195537320837524,-0.1544141331415576
avg MFCCoff_2,0.0585923878648088,0.1094167734860298,0.2736756554019308,0.1775273314769269
avg DDMFCCoff_1,0.0703774396023733,0.0191440478063432,-0.0692985991180624,-0.0910080214173764
std BBEon_5,0.0538832798590366,0.0068554278108287,-0.0529991314071066,-0.1031774494209108
std BBEon_6,0.1047420949098367,0.0348037177462548,-0.0439258955841255,-0.0995285407724639
std BBEon_7,0.0903471414885604,0.0388382141012861,-0.0551908796501195,-0.0954811548315616
std BBEon_8,0.061455903737006,0.0422873680025989,-0.0636772509634673,-0.1023989939492523
std DMFCCon_1,-0.0594612449417858,0.0420863548727457,0.1361901899838255,0.143877638622061
std DDMFCCon_1,-0.0608434191251538,0.0263501618213506,0.1400123537499193,0.1512528769152496
std MFCCoff_1,0.0263190574636108,0.1045528232264136,0.2229342726039514,0.1860669135269929
std DMFCCoff_1,0.0163966899220134,0.1178057972348505,0.2431461995129819,0.237575893431249
std DDMFCCoff_1,0.0100714571016678,0.1152019009639858,0.2547169664518752,0.2572200936386158
std DDMFCCoff_2,0.0162316019776086,0.0861229232079959,0.1405427670486703,0.1370501963985959
std F1,-0.1871392913651009,-0.0606935401151893,0.029403701671835,0.0316223680876378
std DF1,-0.1872420343025786,-0.0479856141161286,0.0866833368794265,0.0277973484340237
std DDF1,-0.1681493572416985,-0.062112799296697,0.0993887757388431,0.0459645662163301
std DF2,-0.1349910812798023,-0.1597902979436141,-0.0119692288906307,-0.0108875911181243
std DDF2,-0.1197876450527254,-0.1506483926468771,0.0038709997249949,-0.0452131764271913
