Feature,English,French
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,1.1667269599857453,0.6417844656237655
loudness_sma3_stddevNorm,0.363534505940326,-0.0343705313182071
spectralFlux_sma3_amean,-0.2259943023615957,-0.0705357679349037
spectralFlux_sma3_stddevNorm,0.1571689946694104,-0.0241166836343907
mfcc1_sma3_amean,0.2218518427991372,-0.0522269820669391
mfcc2_sma3_amean,-0.4519938642681753,0.1319858179380514
mfcc2_sma3_stddevNorm,0.1298652966393509,-0.1470658400837299
mfcc3_sma3_amean,0.1311283232992189,0.3402650024304508
mfcc3_sma3_stddevNorm,-0.0982371867206198,-0.1820586528560399
mfcc4_sma3_amean,0.1601138533022102,0.3723798972966045
jitterLocal_sma3nz_stddevNorm,-0.113921424779285,-0.4159432609308717
shimmerLocaldB_sma3nz_stddevNorm,-0.252147250280025,-0.4949712449166828
HNRdBACF_sma3nz_amean,-1.0042622101828798,-0.8902490919194042
HNRdBACF_sma3nz_stddevNorm,0.913286855890838,0.3486652854452559
logRelF0-H1-H2_sma3nz_amean,-0.6364012501150047,-0.4180198280019699
logRelF0-H1-A3_sma3nz_amean,-0.3269113434171455,0.0913151811154177
logRelF0-H1-A3_sma3nz_stddevNorm,0.2638198076041855,-0.1293746747549043
F1bandwidth_sma3nz_amean,-0.6701999832649992,-0.3465176135888219
F2frequency_sma3nz_amean,-0.6241545301312047,-0.2810310757004082
F2frequency_sma3nz_stddevNorm,0.8725566115777559,0.710668597816205
F2bandwidth_sma3nz_amean,-0.3419333510853699,0.0018331325448153
F2bandwidth_sma3nz_stddevNorm,-0.1717885539309698,-0.2775716687967538
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.0734994613446946,0.3587355461051189
F3frequency_sma3nz_amean,-0.6366066639672179,-0.3478394623336039
F3frequency_sma3nz_stddevNorm,0.982852924174598,0.6891311657114628
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.0820525087456332,0.258571440334186
alphaRatioV_sma3nz_amean,0.3312862501574229,-0.1231584866799097
alphaRatioV_sma3nz_stddevNorm,-0.1903345903875471,0.1496734424806517
hammarbergIndexV_sma3nz_amean,-0.339810987587936,0.0366142112326441
hammarbergIndexV_sma3nz_stddevNorm,0.1325051659627079,-0.2525890604091299
slopeV0-500_sma3nz_amean,-0.3340921093433939,-0.9129152150529314
spectralFluxV_sma3nz_amean,-0.2150982512195778,-0.0215419069358983
spectralFluxV_sma3nz_stddevNorm,0.0517624704648929,-0.2388079536821199
mfcc1V_sma3nz_amean,0.2418681909253385,0.0872210572435074
mfcc2V_sma3nz_amean,-0.3841121005204443,0.1916703604221174
mfcc2V_sma3nz_stddevNorm,0.0648963980897925,-0.1762930752024609
mfcc3V_sma3nz_amean,0.1346181696213149,0.4083262926558792
mfcc3V_sma3nz_stddevNorm,-0.0987841633494667,-0.2394481861395951
mfcc4V_sma3nz_amean,0.2234263089885004,0.5167817851397684
alphaRatioUV_sma3nz_amean,-0.0762879665773601,-0.2204532087570587
slopeUV0-500_sma3nz_amean,-0.0926510411183411,-0.3954320554680385
