Feature,Max 1 glass per week,More than 1 glass per week
global avg std NAQ,0.2422804012452594,0.1874344151138889
global avg avg H1H2,-0.1456235713104339,-0.0434620965131222
global std avg NAQ,0.2755722756623565,0.1936672891765848
global std std NAQ,0.1895537392222654,0.0853886318737089
