Feature,15_32,33_46,47_59,60_88
global avg std NAQ,-0.9119605623983008,-0.8547103121581572,-0.8438509731750486,-0.7941654230375421
global avg avg QOQ,-0.9178412340679944,-0.9215741656811726,-0.6864993207069201,-0.4905204046413344
global avg std QOQ,-0.5004863702467963,-0.4373415130079807,-0.2956019758782445,-0.1963386243692804
global std avg NAQ,-0.7237548669932069,-0.6322806875059186,-0.5673396309951448,-0.5672306765275404
global std avg QOQ,-0.1608834069437136,-0.1354923972451168,0.0244661518325424,0.1396085009351339
global std std QOQ,-0.641240787467834,-0.6130358792270895,-0.5402989114356013,-0.4328521613624222
