Feature,15_33,34_45,45_56,57_85
avg Jitter,-0.0905624042778537,-0.0679145337361338,0.0787745421898955,0.1967244225800565
avg Shimmer,-0.1344220020955114,-0.0488521589000317,0.0552697134877506,0.0789148151059013
avg ppq,-0.0507077230909322,-0.0764501990664974,0.0452783086698832,0.2071038029781598
avg logE,0.0079868995232907,0.08900889484126,0.0800646797630822,0.1201008228821174
std DF0,0.1588161819284736,0.0846139155307576,0.1252686060033148,0.2058568807172369
std Jitter,0.0578823058727035,0.040707792528845,0.110072294746691,0.2089964112235264
std Shimmer,-0.080497937545079,-0.0658392229264267,-0.0152155743663735,0.045026567807642
std ppq,0.0735500358742139,0.0590040903221529,0.1242025073435618,0.2241914077615179
