Feature,Not native,Native
avg MFCCoff_8,-0.096808562102727,0.1173177231441172
avg DF2,0.2408254978767259,-0.0418976258243108
std DMFCCon_4,-0.5689831402793221,-0.1830588218512433
std DMFCCon_11,-0.3120269676409513,7.398096729915372e-05
std DDMFCCon_4,-0.5198317975236944,-0.1839379296871849
std DDMFCCon_11,-0.3091696576571745,-0.0065030863051958
std DMFCCoff_4,-0.3816590707320886,-0.0754201714958172
std DDMFCCoff_4,-0.3735602921258693,-0.1062303135991833
std F1,-0.1266316221420372,0.1182595085348254
