Feature,Not native,Native
avg DMFCCon_7,-0.2476779007184242,0.0921781658377486
avg DMFCCon_8,0.1344346504029005,-0.127964080286296
avg DF1,0.2607095748750899,-0.0109515896381397
avg DF2,0.2886288847280809,-0.0116475060653669
std MFCCon_5,-0.222714858837644,0.008544367607685
std MFCCon_6,-0.1831213170521224,0.0305067597428444
std MFCCon_8,-0.1717670916199947,0.0579389696571811
std DMFCCon_5,-0.1905651537551276,0.0258415231339597
std DMFCCon_6,-0.2262110124028418,0.0526879812179171
std DMFCCon_7,-0.1798243349469372,0.0462997930028868
std DMFCCon_8,-0.2202044304771344,0.0583738207350731
std DMFCCon_9,-0.1912333659214103,0.0270973647279328
std DDMFCCon_5,-0.1956218590480494,0.035686286789436
std DDMFCCon_6,-0.2281446165835034,0.0613413918854797
std DDMFCCon_7,-0.1745793964899441,0.0353614668113712
std DDMFCCon_8,-0.2256112311692505,0.0584484033063846
std DDMFCCon_9,-0.1840948577791928,0.0152660711443985
std DDMFCCon_11,-0.1849280116084224,0.0286821889504689
std DMFCCoff_1,-0.0405793867075171,0.1664160589758366
std DMFCCoff_5,-0.1559913876663833,0.0625437452654599
std DDMFCCoff_1,-0.0398581257476043,0.1644672689345579
std DDMFCCoff_5,-0.1957004049455782,0.0632957794410266
std DF1,-0.2022032968076899,-0.0057093145854258
std F2,-0.3541328356032146,-0.072969298433846
std DF2,-0.2739706721434319,-0.0672199387759034
