Feature,High School or lower,Bachelor's Degree,Master's Degree,PhD or higher
F0mseavg,-0.6418892104237381,-0.620499133180748,-0.6336203393077746,-0.484326612414245
F0msestd,-0.5786940418543325,-0.4914436252559317,-0.6077074262784852,-0.3965474261016547
std1Evoiced,-0.270908785363363,-0.2056772458648626,-0.1967979694345411,0.0137023402615309
stdlastEvoiced,-0.2932274764368699,-0.2887976904979969,-0.1418914440029681,0.0593870133312108
