Feature,English,French
avg BBEon_1,0.1437177679594742,0.4871364932414324
avg BBEon_2,-0.1019528608125319,0.3316457590553758
avg BBEon_3,-0.1740336125692879,0.2634618749631623
avg BBEon_4,-0.0810540994240377,0.2686307584356304
avg BBEon_5,-0.049831829205468,0.1061345129420032
avg BBEon_14,-0.159975738700433,0.0130367548510558
avg BBEon_15,0.0414447858379801,0.2527903469364771
avg BBEon_16,-0.2131206259159337,0.1109180706830714
avg BBEon_17,-0.0048501848887515,0.3106366180978202
avg BBEon_18,-0.2261169278387866,0.0817769605880165
avg BBEon_19,-0.3107147757789099,0.0482646240592623
avg BBEon_20,-0.359382110804485,-0.0186876939291784
avg BBEon_21,-0.3538464223050177,-0.0199885901641226
avg BBEon_22,-0.3135216950331738,0.0798719755712987
avg MFCCon_1,0.2848874663261783,-0.0490878355077306
avg MFCCon_2,-0.4289090440170738,-0.0415367678134162
avg MFCCon_6,-0.0608141172352645,0.1548429729888761
avg MFCCon_7,-0.1782418524653733,-0.3424295640403353
avg MFCCon_8,0.2334106826380387,0.0243157571799745
avg DMFCCon_1,-0.2576542128049192,0.0388308986177506
avg DMFCCon_2,-0.1926980291602382,0.2272421889826201
avg DMFCCon_3,0.3703158871512678,-0.1701796308157968
avg DMFCCon_4,-0.1152713238954991,-0.3257261272683251
avg DMFCCon_5,0.0627013710726243,0.3563893866832566
avg DMFCCon_6,-0.0450204901127079,-0.3204118072119133
avg DMFCCon_8,0.146748456431895,0.3710023459651693
avg DMFCCon_9,-0.0061822360807532,-0.3491262750231313
avg DMFCCon_10,-0.084624292062537,0.1324812684151054
avg DDMFCCon_1,0.4082883602219358,-0.0847959911379399
avg DDMFCCon_2,0.2867071198772527,-0.2004930066620008
avg DDMFCCon_3,-0.1873096604536181,6.865305077210105e-16
avg DDMFCCon_5,0.2769606744281147,-0.23613092837388
avg DDMFCCon_7,-0.2129665804384772,0.2009552400834313
avg DDMFCCon_8,-0.4571312292572867,0.100919686542143
avg DDMFCCon_9,-0.4054284602607766,0.0700028764700543
avg BBEoff_1,0.5018962247042137,0.8096854230798934
avg BBEoff_2,-0.2185374253436923,0.1761527369490854
avg BBEoff_3,-0.3042112348733376,-0.0293222416572351
avg BBEoff_5,0.0343259193324848,-0.2708945748055135
avg BBEoff_6,-0.082397259988019,-0.3648717676714038
avg BBEoff_12,0.2399445518813938,0.0481242368864541
avg BBEoff_16,-0.3358418999706564,-0.1351229273014455
avg BBEoff_17,-0.0696242528414659,0.2284536767778639
avg BBEoff_18,-0.42885743406375,-0.0824340166456989
avg BBEoff_19,-0.5114192894508488,-0.1173108288349087
avg BBEoff_20,-0.4375802336930597,0.02540601438459
avg BBEoff_21,-0.4519604980138859,-0.0538107354014875
avg BBEoff_22,-0.3920784103812849,-0.0127848946671996
avg MFCCoff_1,0.4041539783822196,0.0842069571296286
avg MFCCoff_2,-0.5673977103395065,-0.0566795365526662
avg MFCCoff_8,0.1880257643685387,-0.0499649847854001
avg MFCCoff_9,0.178985325696219,-0.080083531553334
avg MFCCoff_10,0.239431416039264,0.0582330050202655
avg DMFCCoff_1,0.2234916324580282,-0.1704681245026128
avg DMFCCoff_3,-0.1512497263432373,0.021046199006936
avg DMFCCoff_6,0.3350949846712316,-0.0611608281101299
avg DMFCCoff_8,0.1474545675673224,0.0612348448927143
avg DDMFCCoff_1,0.1632191591085786,-0.0663350511292946
avg DDMFCCoff_2,-0.3545275766312246,0.0656056571140809
avg DF1,-0.1002411466471925,0.1135750891687113
avg F2,-0.5023645952479632,-0.1088758372830227
avg DF2,-0.1360919256518298,0.2304317749257531
std BBEon_4,0.0848046800008309,-0.115451453947316
std BBEon_5,0.0983676896327775,-0.1695274297570235
std BBEon_6,0.0978747185331771,-0.2125246922064969
std BBEon_7,0.1162836906901549,-0.2313056015411216
std BBEon_8,0.114607195977014,-0.2065311796327941
std BBEon_9,0.1309720373081113,-0.1367626336351279
std BBEon_10,0.1634412777982989,-0.1050901477226897
std BBEon_11,0.1711063288713278,-0.0448955908594526
std BBEon_12,0.179240931054707,-0.089001792055459
std BBEon_13,0.0580340084457691,-0.1743336022164248
std MFCCon_2,-0.0764833458586206,-0.3564486900227931
std MFCCon_4,-0.129159816713045,-0.3761273584528327
std MFCCon_5,0.1402335630713255,-0.1843970377523022
std MFCCon_7,-0.1424853338805124,0.0679350051496217
std MFCCon_11,0.067568132167798,-0.1788527291395536
std DMFCCon_1,-0.2309732456725924,-0.0009909934977013
std DMFCCon_2,-0.0883837095882155,-0.3934511784710659
std DMFCCon_4,-0.1452443854893254,-0.3643828714491787
std DMFCCon_5,0.0339726262221244,-0.1903516801439904
std DMFCCon_10,0.0054848020059348,-0.1784389391356659
std DMFCCon_11,0.0698621888828061,-0.2162938457977867
std DMFCCon_12,0.0590000712727179,-0.1521080722870914
std DDMFCCon_1,-0.2677128808900169,0.025834197716461
std DDMFCCon_2,-0.0896876731911228,-0.3970566247942821
std DDMFCCon_4,-0.1342387421424198,-0.3536513010732015
std DDMFCCon_5,0.0137553112779769,-0.1774971400296234
std DDMFCCon_10,0.0470198633589513,-0.1938690214812049
std DDMFCCon_11,0.0608872436709501,-0.2153211103079827
std DDMFCCon_12,0.0677981785413808,-0.150527606065311
std BBEoff_4,-0.2382530097419686,-0.0120937626399948
std BBEoff_12,0.2027115687525373,-0.0095312786598102
std BBEoff_13,-0.0159553836354095,-0.2705802267193599
std BBEoff_14,-0.0282359529635446,-0.2290174313774153
std BBEoff_21,-0.2950750405065031,-0.1345030431608183
