Feature,15_33,34_45,45_56,57_85
F0avg,0.3223012728354908,0.1716182319291182,0.1354132598125519,0.1298667273463624
lastF0avg,0.4545281659157431,0.2702700554427419,0.1264654525555837,0.0578684234729696
avgEvoiced,0.1084422967638878,0.1321855433502754,0.0395331338572408,0.027486840333912
stdEvoiced,0.1116356228648202,0.1334036427909605,0.1760846619138197,0.2775267821908651
avgtiltEvoiced,-0.2970696018974589,-0.3504388698446323,-0.2216851552894239,-0.1099463944825354
stdtiltEvoiced,0.2252815201537175,0.2794993560367685,0.1178591004090678,0.0018575295641974
avgmseEvoiced,0.0151891511661398,0.0753415995614965,0.0910681025463904,0.2251140683927014
stdmseEvoiced,0.0319339651396996,0.0686280217893596,0.0839238539588532,0.1612914124891024
stdlastEvoiced,0.0632689533795887,0.0500369308904059,0.1740763976943349,0.2601715649717552
stdEunvoiced,0.1361539115995673,0.1421625888551178,-0.0174960531266211,-0.1143538606278604
avgtiltEunvoiced,-0.0414982121307003,0.1479053035928794,0.1239108057997844,0.1461511090505491
stdtiltEunvoiced,0.1588764406445306,0.1692269293170953,0.0787336020040427,0.0171749656572275
avgmseEunvoiced,0.0867834019760666,0.1273061311730296,-0.0291550816698062,-0.091184539762318
stdmseEunvoiced,0.0965658395799242,0.154514289719463,-0.0152902944090995,-0.0696526591001497
avgdurvoiced,-0.0557302504127922,-0.0994897185890066,-0.0139606941344148,0.2523145820850325
stddurvoiced,-0.0508490924270379,-0.0488592719353752,0.0346389497280733,0.2601847508361111
stddurunvoiced,-0.1561434256733373,-0.0374941726279536,0.1809412959738577,0.2902158489416517
avgdurpause,-0.1146318559095359,-0.0611835881338283,-0.0561426489417562,0.0248479162610119
stddurpause,-0.160851190566758,-0.047309234641716,-0.0179286131883237,0.156966433845884
PU,-0.0490169040924904,-0.0315357354655142,-8.958240866016958e-05,0.0895378000442417
UVU,0.0199729725213976,0.0469454700775755,-0.0338013573371548,-0.3043168412298698
VVU,-0.0199729725213966,-0.0469454700775749,0.0338013573371561,0.3043168412298689
VP,0.0747394253177324,0.0019869530928494,0.0321381617171274,0.1721709990296578
UP,0.0508066662820878,0.0325168478138776,9.150941622424192e-05,-0.0891069346127492
