Feature,High School or lower,Bachelor's Degree,Master's Degree,PhD or higher
avg DF0,-0.0702011501717199,-0.1358602199253663,-0.2539381020226145,-0.2281095223582344
avg Jitter,0.0775678924325271,0.1530603843822658,0.2179149722546897,0.1835323568251544
std ppq,0.2186276344943055,0.1144293732604078,0.0848673662238656,0.0094122967129228
