Feature,I smoke daily,I smoke less than daily,A past smoker,Not a smoker
global avg avg NAQ,-1.0156658770336544,-0.8813331471734318,-0.8331302270745008,-0.815465580071952
global avg avg QOQ,-1.0054970080350476,-0.991753874905459,-0.6822126909503176,-0.7228551897785392
global std std QOQ,-0.7206087610109561,-0.5742954837893754,-0.4763386864217142,-0.5638689352538435
