Feature,15_33,34_45,45_56,57_85
F0semitoneFrom27.5Hz_sma3nz_amean,0.30033856657844,0.2051483756627962,0.1208022054937364,0.1192339069211278
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,-0.151180896620938,-0.1212745780885705,-0.0826589909509614,0.0688374179938806
mfcc1_sma3_stddevNorm,-0.0021830432271695,-0.0493287344534732,0.0377632316374801,0.1281383728637644
mfcc3_sma3_amean,0.0946242271508419,-0.0422230948379876,-0.0761391159505107,-0.220877796850996
mfcc4_sma3_amean,0.1685844159082177,0.0303304721032689,0.0652115560379905,-0.1413431555257971
jitterLocal_sma3nz_stddevNorm,-0.0996606743337722,-0.0402357042216582,0.0128439835678025,0.0756934019857745
shimmerLocaldB_sma3nz_stddevNorm,-0.1638815853606819,-0.0270665879857677,0.0211299716600169,0.1029812035879699
HNRdBACF_sma3nz_amean,0.3603499785365365,0.2845752384376721,0.1767811264737898,0.1518986403568428
HNRdBACF_sma3nz_stddevNorm,-0.1703576401152434,-0.1665677765701991,-0.0289204419491763,0.0643228900420327
logRelF0-H1-A3_sma3nz_stddevNorm,-0.0914069894204955,-0.066351551302469,-0.0221752020015958,0.0678730455851451
F1frequency_sma3nz_amean,0.2885597056906204,0.1964457211810165,0.0752294285874674,0.0515663223824009
F1frequency_sma3nz_stddevNorm,-0.313678470605586,-0.2123476776365098,-0.0573559159418358,0.0491770053861133
F2frequency_sma3nz_amean,0.217839067592476,0.1103266197953217,-0.0102732250525924,-0.0362687983436029
F2frequency_sma3nz_stddevNorm,-0.3813363753518237,-0.2385557608591194,-0.0978424846339552,0.0281616090735601
F2bandwidth_sma3nz_stddevNorm,-0.0158224879708518,-0.0227454536173579,0.0870396082312961,0.1323209118300404
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.1068976936547657,0.0791556363131115,0.0158408947901757,-0.0868267675673968
F3frequency_sma3nz_stddevNorm,-0.2374350279521328,-0.2151526281844005,-0.1583713224599261,-0.078637548299567
F3bandwidth_sma3nz_stddevNorm,0.0783128234070743,0.1058420660791721,0.1838170433626189,0.2279491260251802
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.1432607344206854,0.1222407581104678,0.0461088493365571,-0.0436380133262067
alphaRatioV_sma3nz_amean,-0.1077182797229675,-0.0642054221103056,0.0874871324574017,0.1444117767066027
alphaRatioV_sma3nz_stddevNorm,0.0779754767715263,0.1003332176300541,-0.0537855595721468,-0.1356248325296274
hammarbergIndexV_sma3nz_stddevNorm,-0.0777038465084636,-0.136141809854983,-0.0127869344345278,0.0326249566441785
slopeV500-1500_sma3nz_amean,0.2787384510517064,0.1406739232362321,0.2002661015817122,0.0651017075732653
mfcc1V_sma3nz_stddevNorm,0.0084399522978831,-0.1039141546255038,0.006097209979239,0.1272476817981279
mfcc3V_sma3nz_amean,0.0776350052148265,-0.0229099754860204,-0.0819141776384359,-0.2357062227892336
mfcc4V_sma3nz_amean,0.173154816367284,0.061861464094355,0.035233193858215,-0.1509709243396992
