Feature,English,French
consonantal_mean,-0.335637856156613,0.0011796003781205
consonantal_std,-0.5319182490621801,-0.2212651140448604
back_mean,0.3444555015193041,0.1132775069459301
anterior_std,-0.5547944460885302,-0.2770020273225293
open_mean,0.2543791275681936,-0.3303306352530306
close_mean,-0.4939949541651988,0.0577292318308496
close_std,-0.5786132217822408,0.2356028016239738
nasal_std,-0.5208988300225437,-0.2763881333994595
stop_mean,0.2984341359759001,0.0428986303444487
stop_std,-0.5257299574318105,-0.1736548510401327
continuant_mean,-0.2337094687435262,0.1087993758091632
continuant_std,-0.4936712487705786,-0.0900032190855864
lateral_std,-0.001066996586422,0.2910971091043664
flap_mean,0.4763787509621341,0.1551078044771762
flap_std,0.4958268758437806,0.0026115285292109
trill_mean,0.427733111973819,-0.1486604607757761
trill_std,0.5290605125107838,0.1920500869863406
strident_mean,-0.4201130547254181,0.110335916301463
strident_std,-0.3193683130575606,-0.1814346232792045
labial_std,-0.3494975613387576,0.0057026708592877
dental_std,-0.4593446492579918,0.0061226345349021
velar_mean,0.3384792332392958,-0.0125058912786654
pause_mean,0.1111939330178445,0.3423491535932268
