Feature,I smoke daily,I smoke less than daily,A past smoker,Not a smoker
F0semitoneFrom27.5Hz_sma3nz_amean,-0.0183898142890261,0.1694297708989856,0.1961030235539616,0.2500505213521399
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.071248748718393,-0.1399406549084988,-0.1462563235181999,-0.2282484352164891
shimmerLocaldB_sma3nz_amean,-0.0977396527208666,-0.1393073057273086,-0.1392456618938467,-0.2163377754983991
HNRdBACF_sma3nz_amean,-0.0059486215691898,0.2058909968849064,0.1981309109872403,0.2766245017370605
HNRdBACF_sma3nz_stddevNorm,-0.0300262688460643,-0.1619539520660502,-0.1400722343535459,-0.1960369701070923
logRelF0-H1-H2_sma3nz_amean,-0.0141371054772673,0.2959233459991445,0.2336524097011579,0.2366592809204801
F1frequency_sma3nz_amean,-0.1354365217260564,0.0960954521851768,0.0824855402889515,0.1944105394842709
F1frequency_sma3nz_stddevNorm,-0.1109208520938636,-0.241749224903042,-0.2198442849812414,-0.2942512798943191
F2frequency_sma3nz_amean,-0.088901011655716,0.1342104893704366,0.1585178465878489,0.1888660854805948
F2frequency_sma3nz_stddevNorm,-0.0823150961331806,-0.3182246761925862,-0.2395190138142299,-0.288519944943517
F3frequency_sma3nz_amean,-0.072591653516858,0.1863388507173428,0.1932377596071329,0.2310526748465188
F3frequency_sma3nz_stddevNorm,-0.1234831272407226,-0.2874877693100444,-0.2258258812866152,-0.2598419526950555
hammarbergIndexV_sma3nz_amean,-0.0527217013695888,0.0559475763944626,0.0597603733272188,0.1050969369032816
