Feature,I smoke daily,I smoke less than daily,A past smoker,Not a smoker
global avg avg NAQ,0.0835345458448872,0.3187777439480295,0.3090517534915057,0.3614294666574905
global avg std NAQ,0.0917705661283571,0.1860856931885781,0.1844816797231857,0.269357854757683
global avg avg H1H2,-0.1168520125717071,-0.2277790778758173,-0.2439641784069846,-0.2861304646317983
