Feature,English,French
global avg avg QOQ,-0.2564739006612235,-0.0712652774313168
global avg avg H1H2,0.7295688445955424,0.616562428861594
global avg std HRF,-0.0974359011860707,-0.1588054682481602
global std avg HRF,-0.0716468250282563,-0.1457323043135701
global std std HRF,-0.1041164892141266,-0.1627129277198526
