Feature,I smoke daily,I smoke less than daily,A past smoker,Not a smoker
avg Jitter,-0.682245795114521,-0.3650812830893066,-0.4531349824087687,-0.4004975897046293
std apq,-0.3453524440430987,-0.1405345832705601,-0.0727115023646981,-0.0342282645149496
