Feature,High School or lower,Bachelor's Degree,Master's Degree,PhD or higher
loudness_sma3_stddevNorm,0.0183028870728804,-0.0425718629370831,-0.1811703940250204,-0.128638992289545
spectralFlux_sma3_stddevNorm,0.0464388015982751,-0.0240134851517153,-0.1408017101610158,-0.0326833178093046
mfcc2_sma3_amean,0.0001837028954606,0.0223377870638834,0.2194558441347566,0.1403956405897439
mfcc3_sma3_amean,-0.1890027802012378,-0.1046012269719341,-0.0108674861302724,-0.0637531236780244
jitterLocal_sma3nz_stddevNorm,0.1859964814069555,0.1077492345103124,0.0339075551398452,-0.0251440907006177
HNRdBACF_sma3nz_stddevNorm,-0.0891064190478996,-0.133393568583029,-0.2192874364465661,-0.2090072032877956
logRelF0-H1-H2_sma3nz_amean,0.1496206805698812,0.1708217716703795,0.2828707544742,0.2049775378165759
logRelF0-H1-H2_sma3nz_stddevNorm,0.0079011191978178,-0.0504782409156513,-0.1008616635524889,-0.0575213426659282
F1frequency_sma3nz_amean,0.0685922377145439,0.0538264498185061,0.1470127027932512,0.2612468288955994
F2frequency_sma3nz_amean,0.071103847638213,0.0850055540927372,0.202998149972822,0.2604025707269358
F3frequency_sma3nz_amean,0.1377765434742178,0.1138715697726588,0.2591278985817039,0.3205919757548843
F3frequency_sma3nz_stddevNorm,-0.1810607453611125,-0.2118133717496301,-0.2782958792275291,-0.2736352197137706
alphaRatioV_sma3nz_amean,0.0050086717667099,-0.0083168208458659,-0.1425063089439027,-0.1273956775779335
hammarbergIndexV_sma3nz_amean,0.0014522849773851,0.0333609451247881,0.1331823455061026,0.1174144908586619
slopeV0-500_sma3nz_amean,0.2144041796476682,0.1858126218045129,0.0952195117818254,0.1175436975777201
slopeV0-500_sma3nz_stddevNorm,-0.1258071242462008,-0.1193903702686122,-0.0539118260394041,-0.0722402019895428
mfcc2V_sma3nz_amean,-0.0148745569379011,0.0088271368803316,0.1770920746569441,0.093521186521344
mfcc3V_sma3nz_amean,-0.1839903553136456,-0.1245790739077846,-0.0157306492277116,-0.102664039771157
