Feature,English,French
F0semitoneFrom27.5Hz_sma3nz_amean,-0.9856670605600788,-1.0999038602303657
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.4681091913438481,0.1859135051521599
mfcc2_sma3_amean,0.0393992605084471,0.3377680661638025
jitterLocal_sma3nz_stddevNorm,0.0957674038759199,-0.1276192263623434
logRelF0-H1-A3_sma3nz_amean,-0.1382713917833875,0.1259063357639421
logRelF0-H1-A3_sma3nz_stddevNorm,0.1400267518310046,-0.0872227746554381
F1amplitudeLogRelF0_sma3nz_amean,0.0109592545012381,-0.2069724684365768
F2amplitudeLogRelF0_sma3nz_amean,0.0631193224939422,-0.2130541527048691
F3amplitudeLogRelF0_sma3nz_amean,0.0786327758507266,-0.198983076669141
F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2740200996473335,-0.0706316565481303
alphaRatioV_sma3nz_amean,0.0606015666841168,-0.1566689684939821
alphaRatioV_sma3nz_stddevNorm,-0.1124763254637925,0.0917964402943822
hammarbergIndexV_sma3nz_amean,-0.2559764499138496,0.0422387803361327
hammarbergIndexV_sma3nz_stddevNorm,0.1950792919904843,-0.0522097920546037
slopeV0-500_sma3nz_amean,-0.2867332907499982,-0.4633930736185158
slopeV500-1500_sma3nz_amean,-0.4461834836950264,-0.6056857122729078
spectralFluxV_sma3nz_stddevNorm,0.0734821536964971,-0.1041151088400307
mfcc1V_sma3nz_amean,0.0108085435790126,0.1812423931571898
mfcc1V_sma3nz_stddevNorm,0.0325881928729053,-0.1789550153268692
mfcc2V_sma3nz_amean,0.0521830487438913,0.3421969868182603
alphaRatioUV_sma3nz_amean,-0.0155824854383938,-0.1656197019563526
hammarbergIndexUV_sma3nz_amean,-0.0061468913761999,0.1547557865132136
slopeUV0-500_sma3nz_amean,0.0017761226478068,-0.1757024913309915
