Feature,I smoke daily,I smoke less than daily,A past smoker,Not a smoker
avg DF0,-0.0856056570687466,-0.3629149773111529,-0.2147378424671974,-0.1593633783510752
avg DDF0,-0.1787290465672908,-0.0059517458380136,-0.0307274370890303,0.0428940698232554
avg Jitter,-0.0305520868787394,0.1335987416350479,0.1583234738902134,0.1872494286163518
std DF0,-0.0266063538884942,0.2340119712064777,0.196066856713115,0.2988872935668193
std DDF0,-0.0108996954826643,0.1954684418706045,0.1980580090622231,0.3011040270323088
std Jitter,-0.1010250227857167,0.0642326553297379,0.0414871020452035,0.1388329340854748
std apq,-0.055173788264381,0.0130923839975256,0.0994672860468151,0.0081493799935051
std logE,-0.1097899157539409,-0.0364579525100104,0.1210466196626812,0.0351750511248185
