Feature,15_32,33_46,47_59,60_88
avg ppq,-0.0127213585295715,-0.0600323730033597,-0.0959191468475894,0.0676155289184093
std DF0,-0.2782699734185815,-0.3685181925619617,-0.42204827831326,-0.246001808674364
std DDF0,-0.2310407739660219,-0.3357150806825431,-0.396980506103492,-0.2299968519577719
std Jitter,-0.1237491198812422,-0.2700965109083593,-0.3106205917234283,-0.1465299268976054
std ppq,-0.1570618066010919,-0.3063258678496557,-0.3369111907222191,-0.1894886137497994
std logE,0.166909200357272,0.1285743220657506,-0.0207302372810123,0.0384412313430486
