Feature,English,French
F0semitoneFrom27.5Hz_sma3nz_amean,0.2591113622502871,0.189337556454652
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.0151053145167429,-0.113993841545773
mfcc1_sma3_amean,-0.1318632342257224,0.0126259452922301
mfcc2_sma3_amean,-0.2384571787488952,-0.0040010777621487
mfcc3_sma3_amean,-0.1943441729052411,-0.0049919863027999
mfcc4_sma3_amean,-0.1037046758407647,0.1034255778248786
jitterLocal_sma3nz_amean,0.0443147169713572,-0.0805182995656524
shimmerLocaldB_sma3nz_amean,-0.0052945799430677,-0.1527573287053484
HNRdBACF_sma3nz_amean,0.1802122259146032,0.2765901977896989
HNRdBACF_sma3nz_stddevNorm,0.0511113696872501,-0.1421599534325128
logRelF0-H1-H2_sma3nz_amean,-0.1930790272673817,-0.0281566729121521
logRelF0-H1-A3_sma3nz_amean,-0.0987482563737935,0.094039264278682
logRelF0-H1-A3_sma3nz_stddevNorm,0.0562675301246683,-0.0581092097112547
F1amplitudeLogRelF0_sma3nz_amean,0.1101433330163614,-0.0460551164492391
F2bandwidth_sma3nz_amean,0.0328544665777493,0.1652041508692286
F2amplitudeLogRelF0_sma3nz_amean,0.1392872849586598,-0.0451801394229604
F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.0247435891748608,0.0542161268147404
F3bandwidth_sma3nz_stddevNorm,0.2635274031736916,0.1017606458353213
F3amplitudeLogRelF0_sma3nz_amean,0.14055050489977,-0.0578808614135
F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.0331451267816243,0.1086007407963195
alphaRatioV_sma3nz_amean,0.1074997592531772,-0.0511199931969107
hammarbergIndexV_sma3nz_amean,-0.1073382168260707,0.1246777262361109
hammarbergIndexV_sma3nz_stddevNorm,0.1159853104826564,-0.1151815331704398
slopeV0-500_sma3nz_amean,0.2056761156112331,0.0844973444834877
mfcc1V_sma3nz_amean,-0.1389757683158803,0.0265146101915197
mfcc1V_sma3nz_stddevNorm,0.0962138479508263,-0.0211581305955771
mfcc2V_sma3nz_amean,-0.2250845258584827,-0.0062132115237653
mfcc3V_sma3nz_amean,-0.2033108208669333,-0.0099138382420489
mfcc4V_sma3nz_amean,-0.101557306298071,0.0960557950086043
