Feature,High School or lower,Bachelor's Degree,Master's Degree,PhD or higher
loudness_sma3_stddevNorm,0.0165468886819492,-0.0443445527376618,-0.1829810865255451,-0.1304352810652811
spectralFlux_sma3_stddevNorm,0.0461775694870454,-0.0244681722850098,-0.1415770862270381,-0.0331618114469078
mfcc2_sma3_amean,0.0044989951641807,0.0264421054544006,0.2216830025105379,0.1433756911919244
mfcc3_sma3_amean,-0.1897453105059358,-0.1055389917292104,-0.0120220722004411,-0.0647853767092757
jitterLocal_sma3nz_stddevNorm,0.1845697158650733,0.1061462954592042,0.0321383617053845,-0.0270462387895345
HNRdBACF_sma3nz_stddevNorm,-0.0893734468009851,-0.1333368587836585,-0.2186028454029745,-0.2083977603979333
logRelF0-H1-H2_sma3nz_amean,0.1498959712116801,0.1709820461772234,0.2824231621091624,0.2049525169445197
logRelF0-H1-H2_sma3nz_stddevNorm,0.0076424833352476,-0.0499415255032794,-0.0996385322672424,-0.056888673136455
F1frequency_sma3nz_amean,0.0628644196597378,0.0480587226722829,0.1414968402081993,0.2560397192341076
F2frequency_sma3nz_amean,0.0692490125824469,0.0831499264558006,0.2011357951970214,0.2585369431397614
F3frequency_sma3nz_amean,0.1378191428177846,0.1138000911684471,0.2597496039190124,0.3215069964446194
F3frequency_sma3nz_stddevNorm,-0.1800168745313771,-0.2107986689171665,-0.2773442331750699,-0.2726791531574407
alphaRatioV_sma3nz_amean,0.0003882090032066,-0.0128453558432425,-0.1461091190741251,-0.1311027305025218
hammarbergIndexV_sma3nz_amean,0.0043562947552199,0.0360544700937642,0.135217400696586,0.119553558372328
slopeV0-500_sma3nz_amean,0.21383734968334,0.1853893683994996,0.0952511845164107,0.1174632662498523
slopeV0-500_sma3nz_stddevNorm,-0.1260506500765076,-0.1196441468988224,-0.0542702050055006,-0.0725693012738756
mfcc2V_sma3nz_amean,-0.0086176107741888,0.0150612829754917,0.1831643567036671,0.0996738603743687
mfcc3V_sma3nz_amean,-0.1859171740657477,-0.1266337991334381,-0.0180197140909388,-0.1047659458464377
