Feature,I smoke daily,I smoke less than daily,A past smoker,Not a smoker
F0semitoneFrom27.5Hz_sma3nz_amean,-0.0206151012788316,0.1684288834868536,0.1952760196016043,0.249575202201208
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.0689161607654308,-0.1422696176064972,-0.148585177802099,-0.2305758820324716
shimmerLocaldB_sma3nz_amean,-0.0979917158643987,-0.1392936443155003,-0.1392323945451873,-0.2158316906311598
HNRdBACF_sma3nz_amean,-0.0051226506905516,0.2065505217120234,0.1987965330480408,0.2772284500262343
HNRdBACF_sma3nz_stddevNorm,-0.0307251704818865,-0.1616884668376207,-0.1399667037352039,-0.195522339179363
logRelF0-H1-H2_sma3nz_amean,-0.0129734271798212,0.2954049431922655,0.2334718273573425,0.236462386269703
F1frequency_sma3nz_amean,-0.141715790368502,0.0904419700417559,0.0767952731651509,0.189022784157077
F1frequency_sma3nz_stddevNorm,-0.110447985175817,-0.241862683045469,-0.219859573170557,-0.2946000331023864
F2frequency_sma3nz_amean,-0.0907467243178323,0.1323520564012675,0.1566580277777616,0.1870045364194202
F2frequency_sma3nz_stddevNorm,-0.0780419707382741,-0.3151897790609789,-0.2360710110528554,-0.2853291353738602
F3frequency_sma3nz_amean,-0.0735529612467825,0.1866131963250491,0.1935450277931229,0.2315404012074386
F3frequency_sma3nz_stddevNorm,-0.1223846456669476,-0.2865448415056287,-0.2248244689235503,-0.2588728036146612
hammarbergIndexV_sma3nz_amean,-0.0494603340246022,0.058492109122975,0.0622797550205608,0.1073172569038251
