Feature,15_32,33_46,47_59,60_88
mfcc2_sma3_amean,-0.3755501730858272,-0.3557499441698626,-0.1373067532899217,-0.0989023760263676
shimmerLocaldB_sma3nz_stddevNorm,-0.2702508100324011,-0.2414594558346628,-0.354588955107898,-0.4985891381015578
F2frequency_sma3nz_amean,-0.6441246236984,-0.5762904849237256,-0.4302079611623229,-0.3167680881916014
F2bandwidth_sma3nz_amean,-0.3224433803092873,-0.3483852953676658,-0.0886082719977354,-0.1257279187180796
F3frequency_sma3nz_amean,-0.6617181458405069,-0.5690426774588174,-0.4587524724348694,-0.3597217540584224
alphaRatioV_sma3nz_amean,0.252181663201719,0.307201426533816,0.0680731912409043,-0.0019320536934284
hammarbergIndexV_sma3nz_amean,-0.2879938192334886,-0.2817550644753335,-0.0676673356456609,-0.047733666672823
slopeV0-500_sma3nz_amean,-0.4802905508888579,-0.345463073110668,-0.507082682532733,-0.6647323281496076
mfcc2V_sma3nz_amean,-0.345785806269989,-0.3333325515861479,-0.0747138466727974,-0.0414899876738287
